Crop,Crop_Year,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Severity Value,AVERAGE MEAN
Rapeseed &Mustard,2003,Rabi,15907,3065,1648.2,1574474.86,3817.68,0.169310345,2,24.93
Rice,2003,Kharif,4501000,6801000,1648.2,445508980,1080240,1.516333333,2,24.93
Safflower,2003,Rabi,1620,710,1648.2,160347.6,388.8,0.42875,2,24.93
Sesamum,2003,Kharif,37716,7776,1648.2,3733129.68,9051.84,0.219333333,2,24.93
Small millets,2003,Kharif,26570,11510,1648.2,2629898.6,6376.8,0.435789474,2,24.93
Sugarcane,2003,Whole Year,14565,858096,1648.2,1441643.7,3495.6,54.54655172,2,24.93
Sunflower,2003,Kharif,820,470,1648.2,81163.6,196.8,0.608461538,2,24.93
Sunflower,2003,Rabi,5230,3920,1648.2,517665.4,1255.2,0.647931034,2,24.93
Sweet potato,2003,Whole Year,47030,393560,1648.2,4655029.4,11287.2,8.454333333,2,24.93
Tobacco,2003,Whole Year,5310,3490,1648.2,525583.8,1274.4,0.537,2,24.93
Turmeric,2003,Whole Year,23780,56420,1648.2,2353744.4,5707.2,2.241,2,24.93
Urad,2003,Kharif,135994,36794,1648.2,13460686.12,32638.56,0.256333333,2,24.93
Wheat,2003,Rabi,5129,7517,1648.2,507668.42,1230.96,1.377407407,2,24.93
Bajra,2004,Kharif,3155,1609,1290.4,341812.7,662.55,0.499230769,2,25.03
Castor seed,2004,Kharif,11117,5670,1290.4,1204415.78,2334.57,0.461071429,2,25.03
Castor seed,2004,Rabi,6956,3510,1290.4,753613.04,1460.76,0.446666667,2,25.03
Coriander,2004,Whole Year,19060,9107,1290.4,2064960.4,4002.6,0.482333333,2,25.03
Dry chillies,2004,Whole Year,76113,63240,1290.4,8246082.42,15983.73,0.830666667,2,25.03
Garlic,2004,Whole Year,11044,34918,1290.4,1196506.96,2319.24,3.158,2,25.03
Ginger,2004,Kharif,15674,30368,1290.4,1698121.16,3291.54,1.825666667,2,25.03
Gram,2004,Rabi,31811,19941,1290.4,3446403.74,6680.31,0.536,2,25.03
Groundnut,2004,Autumn,30494,25117,1290.4,3303719.96,6403.74,0.715769231,2,25.03
Groundnut,2004,Summer,54029,74074,1290.4,5853501.86,11346.09,1.136551724,2,25.03
Groundnut,2004,Winter,3187,3522,1290.4,345279.58,669.27,1.036842105,2,25.03
Horse-gram,2004,Summer,240,62,1290.4,26001.6,50.4,0.21,2,25.03
Horse-gram,2004,Winter,78105,20792,1290.4,8461895.7,16402.05,0.301666667,2,25.03
Jowar,2004,Kharif,10071,5451,1290.4,1091092.14,2114.91,0.5245,2,25.03
